Stock Symbol,Company Name,DARS Rating,Yield,Stock Price,Annual Dividend,Ex-Div Date,Payout Frequency,Pay Date,Sector,Industry,Qualified Dividend,Record Date,Declare Date,ADR
MCI,MassMutual Corporate Investors Inc. Com.,1.6,7.16%,$16.50,$1.2000,2019-12-30,Quarter,2020-01-17,Financial,Closed End Fund Debt,Unknown,2019-12-31,2019-12-17,No
ATAX,America First Tax Exempt Investors L P Units  Ben Int,3.6,7.16%,$6.98,$0.5000,2019-12-30,Quarter,2020-01-31,Financial,Mortgage Investment,Non-Qualified,2019-12-31,2019-12-13,No
UZB,United States Cellular Corporation,1,7.15%,$24.94,$1.8125,2020-02-27,Quarter,2020-03-01,Technology,Wireless Communications,Non-Qualified,2020-02-28,2019-10-28,No
EVA,"Enviva Partners, LP",2.8,7.13%,$37.87,$2.7000,2020-02-13,Quarter,2020-02-28,Industrial Goods,Lumber Wood Production,Unknown,2020-02-14,2020-01-29,No
WDR,Waddell & Reed Financial Inc. ,1.8,7.11%,$13.76,$1.0000,2020-01-10,Quarter,2020-02-03,Financial,Investment Brokerage Regional,Qualified,2020-01-13,2019-12-23,No
GDV,Gabelli Dividend & Income Trust,1.4,7.10%,$18.59,$1.3200,2020-03-16,Monthly,2020-03-24,Financial,Closed End Fund Equity,Unknown,2020-03-17,2019-11-15,No
RFI,"Cohen & Steers Total Return Realty Fund, Inc. Com.",1.4,7.06%,$13.11,$0.9600,2020-03-17,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-18,2019-12-18,No
CII,BlackRock Enhanced Capital & Income Fund Inc,1.4,7.06%,$14.88,$1.0500,2020-02-13,Monthly,2020-02-28,Financial,Closed End Fund Equity,Unknown,2020-02-14,2020-02-03,No
OPI,Office Properties Income Trust,2,7.05%,$29.13,$2.2000,2020-01-24,Quarter,2020-02-20,Financial,Reit Office,Non-Qualified,2020-01-27,2020-01-16,No
UZC,United States Cellular Corporat,1,7.05%,$25.39,$1.8125,2020-02-27,Quarter,2020-03-01,Technology,Wireless Communications,Non-Qualified,2020-02-28,2019-10-28,No
EVG,Eaton Vance Short Duration Diversified Income Fund,1.6,7.04%,$12.78,$0.9000,2020-02-20,Monthly,2020-02-28,Financial,Closed End Fund Debt,Unknown,2020-02-21,2020-02-03,No
XHR,"Xenia Hotels & Resorts, Inc.",2,7.01%,$14.96,$1.1000,2020-03-30,Quarter,2020-04-15,Financial,Reit Hotel Motel,Non-Qualified,2020-03-31,2020-02-21,No
XOM,Exxon Mobil,3,6.99%,$51.44,$3.4800,2020-02-10,Quarter,2020-03-10,Basic Materials,Major Integrated Oil And Gas,Qualified,2020-02-11,2020-01-29,No
JPI,Nuveen Preferred & Income Term Fund,1.6,6.98%,$23.28,$1.6260,2020-02-13,Monthly,2020-03-02,Financial,Closed End Fund Equity,Unknown,2020-02-14,2020-02-03,No
WBK,Westpac Banking,2.6,6.98%,$15.23,$1.0919,2019-11-08,Semi Annually,2019-12-30,Financial,Foreign Money Center Banks,Unknown,2019-11-12,N/A,Yes
DNP,DNP Select Income Fund Inc,1.4,6.98%,$11.18,$0.7800,2020-03-30,Monthly,2020-04-10,Financial,Closed End Fund Equity,Unknown,2020-03-31,2019-12-19,No
GLU,Gabelli Global Utilities & Income Trust Com Sh Ben Int,1.6,6.94%,$17.28,$1.2000,2020-03-16,Monthly,2020-03-24,Financial,Closed End Fund Equity,Unknown,2020-03-17,2019-11-15,No
PHD,Pioneer Floating Rate Trust,1.6,6.94%,$10.32,$0.7500,2020-02-18,Monthly,2020-02-28,Financial,Closed End Fund Debt,Unknown,2020-02-19,2020-02-05,No
DOW,Dow Chemical,2.4,6.93%,$40.41,$2.8000,2020-02-27,Quarter,2020-03-13,Basic Materials,Chemicals Major Diversified,Unknown,2020-02-28,2020-02-13,No
SITC,SITE Centers Corp.,1.8,6.90%,$11.51,$0.8000,2020-03-09,Quarter,2020-04-02,Financial,Reit Retail,Non-Qualified,2020-03-10,2020-02-12,No
BXMT,Blackstone Mortgage Trust Inc,3,6.88%,$36.06,$2.4800,2019-12-30,Quarter,2020-01-15,Financial,Property Management,Non-Qualified,2019-12-31,2019-12-16,No
UG,United Guardian,0.8,6.88%,$14.70,$1.1000,2019-12-02,Semi Annually,2019-12-10,Consumer Goods,Personal Products,Qualified,2019-12-03,2019-11-20,No
BKT,BlackRock Income Trust Inc. (The) Com.,1.6,6.87%,$6.01,$0.4128,2020-02-13,Monthly,2020-02-28,Financial,Closed End Fund Debt,Unknown,2020-02-14,2020-02-03,No
AWF,"AllianceBernstein Global High Income Fund, Inc.",1.6,6.86%,$11.46,$0.7860,2020-03-05,Monthly,2020-03-20,Financial,Closed End Fund Debt,Unknown,2020-03-06,2020-02-24,No
TCP,TC Pipelines L.P.,2,6.86%,$37.95,$2.6000,2020-01-30,Quarter,2020-02-14,Basic Materials,Oil And Gas Pipelines,Unknown,2020-01-31,2020-01-21,No
TOT,Total S.A.,2.8,6.85%,$43.14,$2.9289,2020-01-02,Quarter,2020-01-28,Basic Materials,Major Integrated Oil And Gas,Unknown,2020-01-03,N/A,Yes
EGIF,Eagle Growth & Income Opportunities Fund,1.4,6.85%,$14.89,$1.0200,2020-02-14,Monthly,2020-02-28,Financial,Closed End Fund Equity,Unknown,2020-02-18,2020-02-10,No
FFC,Flaherty & Crumrine/Claymore Preferred Securities Income Fun,1.4,6.85%,$19.62,$1.3440,2020-03-23,Monthly,2020-03-31,Financial,Closed End Fund Debt,Unknown,2020-03-24,2020-01-23,No
KSS,Kohl's Corporation,1.2,6.85%,$39.15,$2.6800,2019-12-10,Quarter,2019-12-24,Services,Department Stores,Qualified,2019-12-11,2019-11-13,No
CYD,China Yuchai International Ltd. Com.,2,6.84%,$12.42,$0.8500,2019-07-10,Annually,2019-07-19,Industrial Goods,Diversified Machinery,Unknown,2019-07-11,2019-06-24,No
FLC,Flaherty & Crumrine / Claymore Total Return Fund Inc,1.4,6.81%,$20.25,$1.3800,2020-03-23,Monthly,2020-03-31,Financial,Closed End Fund Debt,Unknown,2020-03-24,2020-01-23,No
JHG,Janus Henderson Group Plc.,2.2,6.79%,$21.20,$1.4400,2020-02-14,Quarter,2020-03-05,Financial,Asset Management,Unknown,2020-02-18,2020-02-03,Yes
BBDC,"Barings BDC, Inc.",3.8,6.78%,$9.44,$0.6400,2020-03-10,Quarter,2020-03-18,Financial,Credit Services,Unknown,2020-03-11,2020-02-27,No
GPS,The Gap Inc.,2.2,6.77%,$14.33,$0.9700,2020-01-07,Quarter,2020-01-29,Services,Apparel Stores,Qualified,2020-01-08,2019-11-14,No
WHG,Westwood Holdings,1,6.76%,$25.38,$1.7200,2020-03-05,Quarter,2020-04-01,Financial,Asset Management,Qualified,2020-03-06,2020-02-05,No
RNP,Cohen & Steers Reit & Preferred Income Fund Inc,1.4,6.75%,$21.48,$1.4880,2020-03-17,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-18,2019-12-18,No
CC,The Chemours Company,2,6.73%,$14.86,$1.0000,2020-02-26,Quarter,2020-03-16,Basic Materials,Specialty Chemicals,Unknown,2020-02-27,2020-02-12,No
RPT,Ramco-Gershenson Properties Trust,2,6.73%,$12.96,$0.8800,2020-03-19,Quarter,2020-04-01,Financial,Real Estate Development,Non-Qualified,2020-03-20,2020-02-13,No
BXG,Bluegreen Vacations Corporation,2.2,6.70%,$7.76,$0.5200,2020-02-05,Quarter,2020-02-20,Services,Resorts And Casinos,Qualified,2020-02-06,2020-01-23,No
EQNR,Equinor ASA,2.4,6.69%,$15.55,$1.0400,2020-02-18,Quarter,2020-02-27,Basic Materials,Major Integrated Oil And Gas,Unknown,2020-02-19,N/A,Yes
SPG,Simon Property Group,2.4,6.68%,$123.08,$8.4000,2020-02-13,Quarter,2020-02-28,Financial,Reit Retail,Non-Qualified,2020-02-14,2020-02-04,No
MAIN,Main Street Capital Corp,2.6,6.66%,$36.93,$2.4600,2020-03-17,Monthly,2020-04-15,Financial,Diversified Investments,Unknown,2020-03-18,2020-02-25,No
MPV,MassMutual Participation Investors Com.,1.6,6.64%,$15.59,$1.0800,2019-12-30,Quarter,2020-01-17,Financial,Closed End Fund Debt,Unknown,2019-12-31,2019-12-17,No
GT,The Goodyear Tire & Rubber Company,1.4,6.60%,$9.68,$0.6400,2020-01-31,Quarter,2020-03-02,Consumer Goods,Rubber And Plastics,Unknown,2020-02-03,2020-01-15,No
GEF-B,Greif Inc Cl B,1.6,6.60%,$40.01,$2.6400,2020-03-17,Quarter,2020-04-01,Consumer Goods,Packaging And Containers,Qualified,2020-03-18,2020-02-25,No
TX,Ternium S.A. ,2.8,6.58%,$17.70,$1.2000,2019-05-08,Annually,2019-05-17,Basic Materials,Steel And Iron,Unknown,2019-05-09,N/A,Yes
SPTN,Spartan Stores,2.4,6.58%,$12.43,$0.7700,2020-03-09,Quarter,2020-03-31,Services,Food Wholesale,Qualified,2020-03-10,2020-02-27,No
RPT-PR-D,Ramco-Gershenson Properties Trust Preferred Shares,1.6,6.57%,$54.35,$3.6250,2020-03-19,Quarter,2020-04-01,Financial,Reit Retail,Non-Qualified,2020-03-20,2020-02-13,No
BTI,British Amer. Tobacco,2.8,6.55%,$39.80,$2.6086,2019-12-26,Quarter,2020-02-11,Consumer Goods,Cigarettes,Unknown,2019-12-27,N/A,Yes
SIG,Signet Jewelers,2,6.54%,$23.32,$1.4800,2020-01-30,Quarter,2020-02-28,Services,Jewelry Stores,Unknown,2020-01-31,2020-01-16,No
MGP,MGM Growth Properties LLC,3.4,6.51%,$28.70,$1.8800,2019-12-30,Quarter,2020-01-15,Financial,Reit Healthcare Facilities,Qualified,2019-12-31,2019-12-13,No
ENB,Enbridge Inc.,3.8,6.50%,$37.43,$2.4344,2020-02-13,Quarter,2020-03-01,Basic Materials,Oil And Gas Pipelines,Unknown,2020-02-14,2019-12-09,No
DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc. Com.",1.6,6.49%,$9.25,$0.6000,2020-03-13,Monthly,2020-03-31,Financial,Closed End Fund Debt,Unknown,2020-03-16,2019-12-19,No
ESGRP,Enstar Group Limited,1.6,6.48%,$27.00,$1.7500,2020-02-13,Quarter,2020-03-02,Financial,Property And Casualty Insurance,Non-Qualified,2020-02-15,2020-02-04,No
UBS,UBS AG (USA),3,6.47%,$11.00,$0.7300,2020-05-05,Annually,2020-05-07,Financial,Foreign Money Center Banks,Unknown,2020-05-06,2020-01-21,No
KHC,The Kraft Heinz Company,1.4,6.46%,$24.77,$1.6000,2020-03-12,Quarter,2020-03-27,Consumer Goods,Food Major Diversified,Qualified,2020-03-13,2020-02-13,No
KIM,Kimco Realty Corp,3.4,6.46%,$17.35,$1.1200,2020-04-01,Quarter,2020-04-15,Financial,Reit Retail,Non-Qualified,2020-04-02,2020-01-28,No
BBGI,Beasley Broadcast Group Inc,2,6.43%,$3.11,$0.2000,2019-12-30,Quarter,2020-01-10,Services,Broadcasting Radio,Qualified,2019-12-31,2019-12-09,No
UFS,Domtar Corp,1.8,6.42%,$28.77,$1.8200,2020-04-01,Quarter,2020-04-15,Consumer Goods,Paper And Paper Products,Unknown,2020-04-02,2020-02-19,No
OHI,Omega HealthCare Investors Inc.,3.6,6.42%,$39.60,$2.6800,2020-01-30,Quarter,2020-02-14,Financial,Reit Healthcare Facilities,Non-Qualified,2020-01-31,2020-01-15,No
BME,BlackRock Health Sciences Trust,2.6,6.41%,$37.46,$2.4000,2020-02-13,Monthly,2020-02-28,Financial,Closed End Fund Equity,Unknown,2020-02-14,2020-02-03,No
FLXS,FlexSteel Industries,0.4,6.40%,$13.74,$0.8800,2019-12-19,Quarter,2020-01-06,Consumer Goods,Home Furnishings And Fixtures,Qualified,2019-12-20,2019-12-10,No
KKR-PR-A,KKR & Co. L.P. 6.75% Series A Preferred Units,1.6,6.40%,$26.36,$1.6875,2020-02-27,Quarter,2020-03-16,Financial,Diversified Investments,Qualified,2020-03-01,2020-01-31,No
TCO-PR-J,"Taubman Centers, Inc. Preferred Shares Series J",1.6,6.40%,$25.26,$1.6250,2019-12-13,Quarter,2019-12-31,Financial,Reit Retail,Non-Qualified,2019-12-16,2019-12-05,No
RIO,Rio Tinto plc,1.8,6.39%,$46.93,$3.0200,2020-03-06,Semi Annually,2020-04-16,Basic Materials,Steel And Iron,Unknown,2020-03-09,N/A,Yes
ILPT,Industrial Logistics Properties Trust,2.2,6.39%,$20.66,$1.3200,2020-01-24,Quarter,2020-02-20,Financial,Reit Industrial,Non-Qualified,2020-01-27,2020-01-16,No
ETH,Ethan Allen,3,6.36%,$13.20,$0.8400,2020-04-08,Quarter,2020-04-23,Consumer Goods,Home Furnishings And Fixtures,Qualified,2020-04-09,2020-01-29,No
PFO,Flaherty & Crumrine Preferred Income Opportunity Fund Inc,1.6,6.33%,$11.39,$0.7500,2020-03-23,Monthly,2020-03-31,Financial,Closed End Fund Debt,Unknown,2020-03-24,2020-01-23,No
PSXP,Phillips 66 Partners LP,3.6,6.33%,$54.37,$3.5000,2020-01-30,Quarter,2020-02-13,Basic Materials,Oil And Gas Refining And Marketing,Unknown,2020-01-31,2020-01-21,No
CEE,Central Europe and Russia Fund Inc (The),1.2,6.32%,$23.14,$1.4628,2019-12-27,Annually,2020-01-30,Financial,Closed End Fund Foreign,Unknown,2019-12-30,2019-12-19,No
UTG,Reaves Utility Income Fund Shs Ben Int,1.4,6.31%,$32.54,$2.1600,2020-03-19,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-20,2019-12-18,No
BGG,Briggs & Stratton,0.2,6.31%,$3.17,$0.2000,2019-12-17,Quarter,2020-01-03,Industrial Goods,Diversified Machinery,Qualified,2019-12-18,2019-10-31,No
SELF,"Self Storage Group, Inc.",1.4,6.30%,$4.31,$0.2600,2019-12-18,Quarter,2019-12-31,Financial,Reit Industrial,Unknown,2019-12-19,2019-12-02,No
BBBY,Bed Bath & Beyond Inc.,2,6.29%,$10.81,$0.6800,2020-03-12,Quarter,2020-04-14,Consumer Goods,Home Furnishings And Fixtures,Qualified,2020-03-13,2020-01-08,No
CUK,Carnival Plc ADR,2.6,6.28%,$31.83,$2.0000,2020-02-20,Quarter,2020-03-13,Services,General Entertainment,Unknown,2020-02-21,N/A,Yes
GLPI,Gaming and Leisure Properties Inc,1.8,6.27%,$44.67,$2.8000,2020-03-05,Quarter,2020-03-20,Financial,Reit Diversified,Non-Qualified,2020-03-06,2020-02-21,No
TSCAP,"TriState Capital Holdings, Inc.",1.4,6.26%,$26.65,$1.6875,2020-03-17,Quarter,2020-04-01,Financial,Regional Northeast Banks,Qualified,2020-03-18,2020-02-05,No
BRX,Brixmor Property Group Inc,2.4,6.26%,$18.21,$1.1400,2020-04-03,Quarter,2020-04-15,Financial,Reit Retail,Non-Qualified,2020-04-06,2020-02-10,No
BRG,"Bluerock Residential Growth REIT, Inc",1.4,6.26%,$10.39,$0.6500,2019-12-23,Quarter,2020-01-03,Financial,Reit Residential,Non-Qualified,2019-12-24,2019-12-06,No
GOODN,Gladstone Commercial Corporation,1.6,6.25%,$26.00,$1.6563,2020-03-19,Monthly,2020-03-31,Financial,Reit Diversified,Non-Qualified,2020-03-20,2020-01-14,No
VHI,Valhi Inc.,2.4,6.25%,$1.39,$0.0800,2020-03-06,Quarter,2020-03-24,Basic Materials,Synthetics,Qualified,2020-03-09,2020-02-27,No
PEGI,Pattern Energy Group Inc,2,6.24%,$27.05,$1.6880,2019-12-30,Quarter,2020-01-31,Utilities,Diversified Utilities,Qualified,2019-12-31,2019-11-04,No
MERC,Mercer International Inc.,0.6,6.24%,$8.86,$0.5500,2020-03-24,Quarter,2020-04-01,Consumer Goods,Paper And Paper Products,Qualified,2020-03-25,2020-02-13,No
RPAI,"Retail Properties of America, Inc",2,6.23%,$10.47,$0.6625,2020-03-25,Quarter,2020-04-09,Financial,Reit Diversified,Non-Qualified,2020-03-26,2020-02-13,No
NVEC,NVE Corp.,0.4,6.22%,$63.27,$4.0000,2020-01-31,Quarter,2020-02-28,Technology,Semiconductor Specialized,Unknown,2020-02-03,2020-01-22,No
GAM,"General American Investors Co., Inc.",1.6,6.20%,$33.57,$2.0800,2019-11-15,Annually,2019-12-30,Financial,Closed End Fund Equity,Unknown,2019-11-18,2019-11-06,No
VER,Vereit Inc,2.8,6.17%,$8.66,$0.5500,2020-03-30,Quarter,2020-04-15,Financial,Reit Diversified,Non-Qualified,2020-03-31,2020-02-25,No
MC,Moelis & Company,3.6,6.15%,$31.96,$2.0400,2020-02-14,Quarter,2020-03-27,Financial,Asset Management,Qualified,2020-02-18,2020-02-04,No
HAFC,Hanmi Financial Corp,3.6,6.15%,$15.60,$0.9600,2020-01-31,Quarter,2020-02-27,Financial,Regional Pacific Banks,Unknown,2020-02-03,2020-01-23,No
PBY,Pep Boys,1.4,6.15%,$25.39,$1.5625,2020-05-29,Quarter,2020-06-15,Services,Auto Parts Stores,Non-Qualified,2020-06-01,2020-01-21,No
NYCB,NY Community Bancorp,3.6,6.15%,$10.81,$0.6800,2020-02-07,Quarter,2020-02-24,Financial,Savings And Loans,Qualified,2020-02-10,2020-01-29,No
GIM,Templeton Global Income Fund (DE),1.6,6.15%,$5.74,$0.3528,2020-02-14,Monthly,2020-02-28,Financial,Closed End Fund Debt,Non-Qualified,2020-02-18,2020-02-03,No
FITBI,Fifth Third Bancorp,1.6,6.13%,$27.00,$1.6562,2020-03-26,Quarter,2020-03-31,Financial,Regional Midwest Banks,Qualified,2020-03-27,2020-02-24,No
ESBK,Elmira Savings Bank (NY) Com.,1.4,6.13%,$15.00,$0.9200,2020-03-04,Quarter,2020-03-13,Financial,Regional Northeast Banks,Qualified,2020-03-05,2020-02-19,No
CMRE,Costamare Inc. Ord Shs,2.6,6.13%,$6.53,$0.4000,2020-01-17,Quarter,2020-02-05,Services,Shipping,Unknown,2020-01-21,2020-01-03,No
UVV,Universal Corp,1,6.12%,$49.35,$3.0400,2020-04-09,Quarter,2020-05-04,Consumer Goods,Tobacco Products Other,Qualified,2020-04-13,2020-02-04,No
IBKCP,IberiaBank Corp.,1.6,6.10%,$27.13,$1.6562,2020-01-16,Semi Annually,2020-02-03,Financial,Regional Southeast Banks,Qualified,2020-01-17,2020-01-06,No
ANF,Abercrombie & Fitch,2,6.09%,$13.13,$0.8000,2020-03-05,Quarter,2020-03-16,Services,Apparel Stores,Qualified,2020-03-06,2020-02-21,No
NTB,The Bank of N.T. Butterfield & Son Limited,3.2,6.07%,$27.68,$1.7600,2020-02-25,Quarter,2020-03-11,Financial,Foreign Money Center Banks,Unknown,2020-02-26,2020-02-12,No
R,Ryder System,1.4,6.07%,$38.04,$2.2400,2020-02-14,Quarter,2020-03-20,Services,Rental And Leasing Services,Qualified,2020-02-18,2020-02-07,No
NUS,Nu Skin Enterprises,2.6,6.07%,$24.52,$1.5000,2020-02-27,Quarter,2020-03-11,Services,Drugs Wholesale,Qualified,2020-02-28,2020-02-12,No
DVD,"Dover Motorsports, Inc.",2.6,6.06%,$1.65,$0.1000,2019-11-07,Annually,2019-12-10,Services,Sporting Activities,Qualified,2019-11-11,2019-10-23,No
NWL,Newell Brands Inc,2.6,6.04%,$15.43,$0.9200,2020-02-27,Quarter,2020-03-13,Consumer Goods,Housewares And Accessories,Qualified,2020-02-28,2020-02-05,No
PBI,Pitney Bowes,1.8,6.02%,$3.42,$0.2000,2020-02-13,Quarter,2020-03-09,Consumer Goods,Business Equipment,Qualified,2020-02-14,2020-02-04,No
TRTN,Triton International Limited,3,6.02%,$34.37,$2.0800,2020-03-12,Quarter,2020-03-27,Services,Rental And Leasing Services,Unknown,2020-03-13,2020-02-14,No
RRD,RR Donnelley,2,6.00%,$1.90,$0.1200,2020-02-13,Quarter,2020-03-02,Services,Business Services,Qualified,2020-02-14,2020-01-15,No
CCL,Carnival Corp,2.8,5.98%,$33.46,$2.0000,2020-02-20,Quarter,2020-03-13,Services,General Entertainment,Qualified,2020-02-21,2020-01-15,No
JHS,John Hancock Income Securities Trust Shs. Ben. Int.,1.6,5.97%,$14.70,$0.8788,2019-12-11,Quarter,2019-12-31,Financial,Closed End Fund Debt,Unknown,2019-12-12,2019-12-02,No
MFGP,Micro Focus International Plc,1,5.97%,$9.60,$0.5536,2019-09-05,Annually,2019-10-07,Technology,Application Software,Unknown,2019-09-06,N/A,No
KOS,Kosmos Energy Ltd.,0.6,5.93%,$3.05,$0.1808,2020-03-04,Quarter,2020-03-26,Basic Materials,Oil And Gas Drilling And Exploration,Unknown,2020-03-05,2020-02-24,No
VLO,Valero Energy Corporation,2,5.92%,$66.25,$3.9200,2020-02-11,Quarter,2020-03-04,Basic Materials,Oil And Gas Refining And Marketing,Qualified,2020-02-12,2020-01-23,No
DSWL,Deswell Industries,1.2,5.90%,$2.71,$0.1600,2019-11-26,Semi Annually,2019-12-13,Consumer Goods,Rubber And Plastics,Qualified,2019-11-27,2019-11-15,No
ESCA,"Escalade, Inc.",1,5.89%,$8.49,$0.5000,2020-03-06,Quarter,2020-03-16,Consumer Goods,Sporting Goods,Qualified,2020-03-09,2020-02-21,No
SNP,China Petroleum & Chemical Corp,3,5.88%,$51.54,$3.0343,2019-09-06,Semi Annually,2019-10-03,Basic Materials,Independent Oil And Gas,Unknown,2019-09-09,N/A,Yes
TPR,Tapestry Inc.,3.4,5.88%,$23.45,$1.3500,2020-03-05,Quarter,2020-03-30,Consumer Goods,Textile Apparel Clothing,Qualified,2020-03-06,2020-02-20,No
LYB,LyondellBasell Industries,3,5.88%,$71.46,$4.2000,2020-02-28,Quarter,2020-03-09,Basic Materials,Specialty Chemicals,Unknown,2020-03-02,2020-02-21,No
CTT,"CatchMark Timber Trust, Inc",1,5.88%,$9.19,$0.5400,2020-02-27,Quarter,2020-03-16,Industrial Goods,Lumber Wood Production,Non-Qualified,2020-02-28,2020-02-13,No
RMCF,Rocky Mountain Chocolate Factory,1.2,5.85%,$7.66,$0.4800,2020-02-27,Quarter,2020-03-13,Consumer Goods,Confectioners,Unknown,2020-02-28,2020-02-18,No
T,AT&T,2.6,5.82%,$35.22,$2.0800,2020-01-09,Quarter,2020-02-03,Technology,Telecom Services Domestic,Qualified,2020-01-10,2019-12-13,No
FANH,Fanhua Inc.,2.4,5.81%,$20.30,$1.1800,2019-12-04,Quarter,2019-12-19,Financial,Insurance Brokers,Unknown,2019-12-05,N/A,Yes
DK,Delek U.S. Holdings,2.2,5.80%,$21.38,$1.2400,2020-03-09,Quarter,2020-03-24,Basic Materials,Oil And Gas Refining And Marketing,Qualified,2020-03-10,2020-02-25,No
WPP,WPP Plc ADR,2.8,5.80%,$48.28,$2.7785,2019-10-03,Semi Annually,2019-11-04,Consumer Goods,Paper And Paper Products,Unknown,2019-10-04,N/A,Yes
WRI,Weingarten Realty,2.4,5.79%,$26.93,$1.5800,2020-03-05,Quarter,2020-03-13,Financial,Reit Retail,Non-Qualified,2020-03-06,2020-02-25,No
ALX,Alexander's Inc.,1.4,5.79%,$311.00,$18.0000,2020-01-24,Quarter,2020-02-14,Financial,Property Management,Non-Qualified,2020-01-27,2020-01-15,No
HCXY,"Hercules Capital, Inc.",1.6,5.79%,$26.65,$1.5625,2020-04-14,Quarter,2020-04-30,Financial,Diversified Investments,Non-Qualified,2020-04-15,2019-12-30,No
VTR,"Ventas, Inc.",2.8,5.76%,$53.77,$3.1700,2019-12-31,Quarter,2020-01-13,Financial,Reit Healthcare Facilities,Non-Qualified,2020-01-02,2019-12-06,No
UBP,Urstadt Biddle Properties Inc,2.6,5.76%,$16.83,$1.0000,2020-01-02,Quarter,2020-01-17,Financial,Reit Diversified,Non-Qualified,2020-01-03,2019-12-18,No
CM,Canadian Imperial Bank of Commerce,3.6,5.76%,$76.07,$4.3784,2019-12-26,Quarter,2020-01-28,Financial,Money Center Banks,Unknown,2019-12-27,2019-12-05,No
WEA,Western Asset Premier Bond Fund,1.6,5.75%,$13.41,$0.7920,2020-03-23,Monthly,2020-04-01,Financial,Closed End Fund Debt,Unknown,2020-03-24,2020-02-19,No
TGP,Teekay LNG Partners L.P.,2.8,5.74%,$12.57,$0.7600,2020-01-30,Quarter,2020-02-14,Services,Shipping,Unknown,2020-01-31,2020-01-20,No
GMRE,Global Medical REIT Inc,2.2,5.73%,$13.97,$0.8000,2019-12-24,Quarter,2020-01-09,Financial,Reit Healthcare Facilities,Non-Qualified,2019-12-26,2019-12-13,No
QIWI,Qiwi plc,2.8,5.70%,$17.44,$1.0400,2019-11-29,Quarter,2019-12-09,Financial,Credit Services,Unknown,2019-12-02,N/A,No
WRK,WestRock Company,2.6,5.68%,$33.25,$1.8600,2020-02-13,Quarter,2020-02-26,Consumer Goods,Packaging And Containers,Unknown,2020-02-14,2020-01-31,No
PRU,Prudential Financial,3.2,5.68%,$75.45,$4.4000,2020-02-14,Quarter,2020-03-12,Financial,Life Insurance,Qualified,2020-02-18,2020-02-04,No
AY,Atlantica Yield Plc,1.8,5.67%,$28.91,$1.6400,2020-03-11,Quarter,2020-03-22,Utilities,Electric Utilities,Unknown,2020-03-12,2020-02-26,Yes
NAVI,Navient Corp,3,5.67%,$11.23,$0.6400,2020-03-05,Quarter,2020-03-20,Financial,Credit Services,Qualified,2020-03-06,2020-02-18,No
BRT,BRT Apartments Corp.,1.4,5.64%,$15.60,$0.8800,2019-12-19,Quarter,2020-01-07,Financial,Reit Residential,Non-Qualified,2019-12-20,2019-12-09,No
STAF,"Staffing 360 Solutions, Inc.",0.6,5.63%,$0.69,$0.0400,2019-12-12,Quarter,2019-12-27,Services,Staffing And Outsourcing Services,Qualified,2019-12-14,2019-11-27,No
PM,Philip Morris International,3.6,5.63%,$81.87,$4.6800,2019-12-18,Quarter,2020-01-10,Consumer Goods,Tobacco Products Other,Qualified,2019-12-19,2019-12-05,No
OEC,Orion Engineered Carbons S.A,3.2,5.63%,$14.21,$0.8000,2020-03-09,Quarter,2020-03-31,Basic Materials,Specialty Chemicals,Unknown,2020-03-10,2020-02-28,No
MUR,Murphy Oil,1.8,5.62%,$18.85,$1.0000,2020-02-14,Quarter,2020-03-02,Basic Materials,Oil And Gas Refining And Marketing,Qualified,2020-02-18,2020-02-05,No
CPAC,Cementos Pacasmayo ADR,3.4,5.62%,$8.69,$0.4881,2019-12-06,Annually,2019-12-26,Industrial Goods,Cement,Unknown,2019-12-09,N/A,No
MOV,Movado Group,1.4,5.61%,$14.70,$0.8000,2019-12-05,Quarter,2019-12-20,Consumer Goods,Recreational Goods Other,Qualified,2019-12-06,2019-11-26,No
TAIT,Taitron Components Inc. Cl. A Com.,0.4,5.60%,$2.51,$0.1400,2020-02-13,Quarter,2020-02-28,Services,Electronics Wholesale,Qualified,2020-02-14,2020-01-31,No
BDN,Brandywine Realty,1.8,5.60%,$13.58,$0.7600,2020-04-06,Quarter,2020-04-21,Financial,Reit Office,Non-Qualified,2020-04-07,2020-02-27,No
GFY,Western Asset Variable Rate Strategic Fund Inc,1.6,5.58%,$16.66,$0.9300,2020-03-23,Monthly,2020-04-01,Financial,Closed End Fund Debt,Unknown,2020-03-24,2020-02-19,No
CNK,Cinemark Holdings,3.2,5.55%,$25.96,$1.4400,2020-03-05,Quarter,2020-03-20,Services,Movie Production Theaters,Qualified,2020-03-06,2020-02-21,No
IP,International Paper,2.8,5.55%,$36.96,$2.0500,2020-02-20,Quarter,2020-03-16,Consumer Goods,Paper And Paper Products,Qualified,2020-02-21,2020-01-14,No
LB,L Brands Inc.,2,5.54%,$21.66,$1.2000,2020-02-20,Quarter,2020-03-06,Services,Apparel Stores,Qualified,2020-02-21,2020-02-03,No
OKE,ONEOK Inc.,2.4,5.54%,$66.72,$3.7400,2020-01-24,Quarter,2020-02-14,Utilities,Gas Utilities,Qualified,2020-01-27,2020-01-15,No
