Stock Symbol,Company Name,DARS Rating,Yield,Stock Price,Annual Dividend,Ex-Div Date,Payout Frequency,Pay Date,Sector,Industry,Qualified Dividend,Record Date,Declare Date,ADR
TEF,Telefonica,2.2,7.62%,$5.80,$0.4445,2019-12-17,Semi Annually,2020-01-06,Technology,Telecom Services Foreign,Unknown,2019-12-18,N/A,Yes
HYB,"New America High Income Fund, Inc.",1.6,7.62%,$8.83,$0.6600,2020-02-13,Monthly,2020-02-28,Financial,Closed End Fund Debt,Unknown,2020-02-14,2019-12-16,No
GBLIZ,GBLIZ,1.6,7.61%,$25.41,$1.9375,2020-01-30,Quarter,2020-02-15,Financial,Property And Casualty Insurance,Non-Qualified,2020-02-01,N/A,No
JRS,Nuveen Real Estate Income Fund,1.4,7.60%,$10.17,$0.7600,2019-12-12,Quarter,2019-12-31,Financial,Closed End Fund Equity,Unknown,2019-12-13,2019-12-02,No
UTF,"Cohen & Steers Infrastructure Fund, Inc.",1.4,7.59%,$25.39,$1.8600,2020-03-17,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-18,2019-12-18,No
GBDC,Golub Capital BDC Inc,1.8,7.59%,$17.11,$1.3200,2020-03-05,Quarter,2020-03-27,Financial,Closed End Fund Equity,Unknown,2020-03-06,2020-02-04,No
OCSL,Oaktree Specialty Lending Corporation,2.8,7.58%,$5.09,$0.3800,2020-03-12,Quarter,2020-03-31,Financial,Credit Services,Unknown,2020-03-13,2020-02-06,No
CDOR,"Condor Hospitality Trust, Inc.",2.6,7.56%,$10.46,$0.7800,2019-12-27,Quarter,2019-12-31,Financial,Reit Hotel Motel,Non-Qualified,2019-12-30,2019-12-18,No
BP,BP PLC,3.4,7.54%,$32.63,$2.5000,2020-02-13,Quarter,2020-03-27,Basic Materials,Major Integrated Oil And Gas,Unknown,2020-02-14,N/A,Yes
KSS,Kohl's Corporation,1.2,7.52%,$35.24,$2.8160,2020-03-17,Quarter,2020-04-01,Services,Department Stores,Qualified,2020-03-18,2020-02-26,No
PLYM,"Plymouth Industrial REIT, Inc.",1.4,7.51%,$19.10,$1.5000,2019-12-30,Quarter,2020-01-31,Financial,Reit Industrial,Non-Qualified,2019-12-31,2019-12-13,No
FSI,Flexible Solutions International Inc,1.2,7.50%,$2.00,$0.1500,2019-09-30,Semi Annually,2019-10-15,Basic Materials,Specialty Chemicals,Unknown,2019-10-01,2019-03-12,No
JPC,Nuveen Multi-Strategy Income and Growth Fund,1.6,7.48%,$10.07,$0.7320,2020-02-13,Monthly,2020-03-02,Financial,Closed End Fund Debt,Unknown,2020-02-14,2020-02-03,No
TSE,Trinseo S.A.,1.2,7.47%,$21.07,$1.6000,2020-04-08,Quarter,2020-04-23,Consumer Goods,Rubber And Plastics,Unknown,2020-04-09,2020-02-26,No
SBR,Sabine Royalty Trust,1.2,7.47%,$34.86,$2.6269,2020-02-14,Monthly,2020-02-28,Financial,Diversified Investments,Non-Qualified,2020-02-18,2020-02-06,No
GOOD,Gladstone Commercial,1.2,7.46%,$19.83,$1.5018,2020-03-19,Monthly,2020-03-31,Financial,Property Management,Non-Qualified,2020-03-20,2020-01-14,No
SALM,Salem Communications Corp. Cl A,0.8,7.46%,$1.31,$0.1000,2019-12-20,Quarter,2019-12-30,Services,Broadcasting Radio,Non-Qualified,2019-12-23,2019-12-10,No
OCSI,Oaktree Strategic Income Corporation,3,7.46%,$8.33,$0.6200,2020-03-12,Quarter,2020-03-31,Financial,Credit Services,Unknown,2020-03-13,2020-02-06,No
SLB,Schlumberger Ltd.,2.6,7.46%,$26.06,$2.0000,2020-02-11,Quarter,2020-04-09,Basic Materials,Oil And Gas Equipment And Services,Unknown,2020-02-12,2020-01-15,No
TSLX,"TPG Specialty Lending, Inc.",3,7.45%,$22.25,$1.6400,2020-03-12,Quarter,2020-04-15,Financial,Mortgage Investment,Qualified,2020-03-13,2020-02-19,No
NGHCO,National General Holdings Corp,1.6,7.42%,$25.38,$1.8750,2020-03-31,Quarter,2020-04-15,Financial,Property And Casualty Insurance,Qualified,2020-04-01,2020-02-20,No
KRO,Kronos Worldwide Inc,2.2,7.41%,$9.43,$0.7200,2020-03-02,Quarter,2020-03-12,Basic Materials,Specialty Chemicals,Qualified,2020-03-03,2020-02-19,No
BOE,BlackRock Global Opportunities Equity Trust,1.6,7.40%,$10.10,$0.7560,2020-03-13,Monthly,2020-03-31,Financial,Closed End Fund Foreign,Unknown,2020-03-16,2020-03-02,No
EPD,Enterprise Products Partners L.P.,3.6,7.40%,$23.70,$1.7800,2020-01-30,Quarter,2020-02-12,Basic Materials,Independent Oil And Gas,Unknown,2020-01-31,2020-01-13,No
BLW,Blackrock Limited Duration Income Trust,1.6,7.39%,$15.63,$1.1772,2020-03-13,Monthly,2020-03-31,Financial,Closed End Fund Debt,Unknown,2020-03-16,2020-03-02,No
BGY,BlackRock International Growth & Income Trust,1.6,7.39%,$5.42,$0.4056,2020-03-13,Monthly,2020-03-31,Financial,Closed End Fund Foreign,Unknown,2020-03-16,2020-03-02,No
MGF,MFS Government Markets Income Trust Shs. Ben. Int.,1.6,7.39%,$4.70,$0.3427,2020-02-18,Monthly,2020-02-28,Financial,Closed End Fund Debt,Unknown,2020-02-19,2020-02-03,No
BGSF,BG Staffing Inc,3,7.38%,$15.73,$1.2000,2019-11-07,Quarter,2019-11-18,Services,Staffing And Outsourcing Services,Unknown,2019-11-11,2019-10-29,No
MCI,MassMutual Corporate Investors Inc. Com.,1.6,7.36%,$16.25,$1.2000,2019-12-30,Quarter,2020-01-17,Financial,Closed End Fund Debt,Unknown,2019-12-31,2019-12-17,No
MVC,MVC Capital Inc,2.6,7.36%,$9.10,$0.6800,2020-01-02,Quarter,2020-01-10,Financial,Diversified Investments,Unknown,2020-01-03,2019-12-23,No
OLP,One Liberty Properties,2.2,7.36%,$24.98,$1.8000,2019-12-19,Quarter,2020-01-07,Financial,Real Estate Development,Non-Qualified,2019-12-20,2019-12-10,No
RWT,Redwood Trust,3.2,7.34%,$17.36,$1.2800,2020-03-13,Quarter,2020-03-30,Financial,Real Estate Development,Non-Qualified,2020-03-16,2020-02-27,No
XHR,"Xenia Hotels & Resorts, Inc.",2,7.34%,$15.33,$1.1000,2020-03-30,Quarter,2020-04-15,Financial,Reit Hotel Motel,Non-Qualified,2020-03-31,2020-02-21,No
WBK,Westpac Banking,2.6,7.32%,$14.63,$1.0919,2019-11-08,Semi Annually,2019-12-30,Financial,Foreign Money Center Banks,Unknown,2019-11-12,N/A,Yes
EVT,Eaton Vance Tax Advantaged Dividend Income Fund,1.4,7.32%,$23.38,$1.7400,2020-03-23,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-24,2020-03-02,No
LDP,"Cohen & Steers Limited Duration Preferred and Income Fund, Inc.",1.6,7.31%,$25.94,$1.8720,2020-03-17,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-18,2019-12-18,No
CET,Central Securities Corp. Com.,1.6,7.31%,$30.91,$2.3000,2019-11-15,Semi Annually,2019-12-23,Financial,Closed End Fund Equity,Qualified,2019-11-18,2019-11-05,No
RQI,"Cohen & Steers Quality Income Realty Fund, Inc.",1.4,7.30%,$13.47,$0.9600,2020-03-17,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-18,2020-02-27,No
FRA,BlackRock Floating Rate Income Strategies Fund Inc,1.6,7.28%,$12.80,$0.9456,2020-03-13,Monthly,2020-03-31,Financial,Closed End Fund Debt,Unknown,2020-03-16,2020-03-02,No
MMP,Magellan Midstream Partners L.P.,3.6,7.27%,$56.63,$4.1100,2020-02-06,Quarter,2020-02-14,Basic Materials,Oil And Gas Pipelines,Unknown,2020-02-07,2020-01-21,No
OPI,Office Properties Income Trust,2,7.26%,$32.00,$2.2000,2020-01-24,Quarter,2020-02-20,Financial,Reit Office,Non-Qualified,2020-01-27,2020-01-16,No
EOI,Eaton Vance Enhanced Equity Income Fund,1.4,7.23%,$14.63,$1.0776,2020-03-23,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-24,2020-03-02,No
WHG,Westwood Holdings,1,7.23%,$22.74,$1.7200,2020-03-05,Quarter,2020-04-01,Financial,Asset Management,Qualified,2020-03-06,2020-02-05,No
CVA,Covanta Holding Corporation,1,7.19%,$13.59,$1.0000,2019-12-26,Quarter,2020-01-03,Utilities,Electric Utilities,Qualified,2019-12-27,2019-12-12,No
LOAN,Manhattan Bridge Capital Inc.,1.6,7.18%,$5.77,$0.4400,2020-04-08,Quarter,2020-04-15,Financial,Credit Services,Qualified,2020-04-10,2020-02-07,No
BXG,Bluegreen Vacations Corporation,2.2,7.16%,$7.16,$0.5200,2020-02-05,Quarter,2020-02-20,Services,Resorts And Casinos,Qualified,2020-02-06,2020-01-23,No
MGU,Macquarie Global Infrastructure Total Return Fund Inc,1.4,7.16%,$23.55,$1.6800,2020-03-19,Quarter,2020-03-27,Financial,Closed End Fund Foreign,Unknown,2020-03-20,2020-03-04,No
EVA,"Enviva Partners, LP",2.8,7.16%,$37.00,$2.7000,2020-02-13,Quarter,2020-02-28,Industrial Goods,Lumber Wood Production,Unknown,2020-02-14,2020-01-29,No
UZB,United States Cellular Corporation,1,7.15%,$25.36,$1.8125,2020-02-27,Quarter,2020-03-01,Technology,Wireless Communications,Non-Qualified,2020-02-28,2019-10-28,No
WDR,Waddell & Reed Financial Inc. ,1.8,7.13%,$13.74,$1.0000,2020-01-10,Quarter,2020-02-03,Financial,Investment Brokerage Regional,Qualified,2020-01-13,2019-12-23,No
PHD,Pioneer Floating Rate Trust,1.6,7.10%,$10.62,$0.7500,2020-03-17,Monthly,2020-03-31,Financial,Closed End Fund Debt,Unknown,2020-03-18,2020-03-04,No
PHI,Philippine Long Distance Telephone Co.,1.2,7.09%,$20.66,$1.3870,2019-08-23,Semi Annually,2019-09-18,Technology,Telecom Services Foreign,Unknown,2019-08-26,N/A,Yes
MPV,MassMutual Participation Investors Com.,1.6,7.08%,$15.72,$1.0800,2019-12-30,Quarter,2020-01-17,Financial,Closed End Fund Debt,Unknown,2019-12-31,2019-12-17,No
LRET,ETRACS Monthly Pay 2xLeveraged MSCI US REIT Index ETN,1.2,7.07%,$27.39,$1.8108,2020-02-11,Monthly,2020-02-21,Financial,Reit Retail,Unknown,2020-02-12,2020-02-06,No
HPF,Hancock John Preferred Income Fund II,1.4,7.07%,$21.27,$1.4820,2020-03-11,Monthly,2020-03-31,Financial,Closed End Fund Debt,Unknown,2020-03-12,2020-03-02,No
JPS,Nuveen Quality Preferred Income Fund 2,1.6,7.06%,$9.72,$0.6720,2020-02-13,Monthly,2020-03-02,Financial,Closed End Fund Debt,Unknown,2020-02-14,2020-02-03,No
UZC,United States Cellular Corporat,1,7.05%,$25.88,$1.8125,2020-02-27,Quarter,2020-03-01,Technology,Wireless Communications,Non-Qualified,2020-02-28,2019-10-28,No
JHG,Janus Henderson Group Plc.,2.2,7.05%,$19.89,$1.4400,2020-02-14,Quarter,2020-03-05,Financial,Asset Management,Unknown,2020-02-18,2020-02-03,Yes
EFR,Eaton Vance Senior Floating Rate Trust,1.6,7.05%,$13.13,$0.9360,2020-03-23,Monthly,2020-03-31,Financial,Closed End Fund Debt,Unknown,2020-03-24,2020-03-02,No
CYD,China Yuchai International Ltd. Com.,2,7.01%,$11.91,$0.8500,2019-07-10,Annually,2019-07-19,Industrial Goods,Diversified Machinery,Unknown,2019-07-11,2019-06-24,No
EOS,Eaton Vance Enhanced Equity Income Fund II,1.4,7.00%,$16.74,$1.1856,2020-03-23,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-24,2020-03-02,No
JHI,John Hancock Investors Trust Shs. Ben. Int.,1.6,7.00%,$16.94,$1.1824,2020-03-11,Quarter,2020-03-31,Financial,Closed End Fund Debt,Unknown,2020-03-12,2020-03-02,No
BTZ,BlackRock Credit Allocation Income Trust IV,1.6,6.98%,$14.46,$1.0068,2020-03-13,Monthly,2020-03-31,Financial,Closed End Fund Debt,Unknown,2020-03-16,2020-03-02,No
EFT,Eaton Vance Floating Rate Income Trust,1.6,6.98%,$13.35,$0.9480,2020-03-23,Monthly,2020-03-31,Financial,Closed End Fund Debt,Unknown,2020-03-24,2020-03-02,No
BMA,Banco Macro S.A.,2,6.96%,$31.05,$2.1820,2019-05-10,Annually,2019-05-21,Financial,Foreign Regional Banks,Unknown,2019-05-13,N/A,Yes
RFI,"Cohen & Steers Total Return Realty Fund, Inc. Com.",1.4,6.95%,$14.13,$0.9600,2020-03-17,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-18,2019-12-18,No
SITC,SITE Centers Corp.,1.8,6.89%,$11.76,$0.8000,2020-03-09,Quarter,2020-04-02,Financial,Reit Retail,Non-Qualified,2020-03-10,2020-02-12,No
SPG,Simon Property Group,2.4,6.86%,$120.89,$8.4000,2020-02-13,Quarter,2020-02-28,Financial,Reit Retail,Non-Qualified,2020-02-14,2020-02-04,No
JPI,Nuveen Preferred & Income Term Fund,1.6,6.84%,$24.39,$1.6260,2020-02-13,Monthly,2020-03-02,Financial,Closed End Fund Equity,Unknown,2020-02-14,2020-02-03,No
BDJ,Blackrock Enhanced Dividend Achievers Trust,1.4,6.83%,$8.62,$0.6000,2020-03-13,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-16,2020-03-02,No
MGP,MGM Growth Properties LLC,3.4,6.83%,$28.16,$1.8800,2019-12-30,Quarter,2020-01-15,Financial,Reit Healthcare Facilities,Qualified,2019-12-31,2019-12-13,No
KOS,Kosmos Energy Ltd.,0.6,6.82%,$2.56,$0.1808,2020-03-04,Quarter,2020-03-26,Basic Materials,Oil And Gas Drilling And Exploration,Unknown,2020-03-05,2020-02-24,No
BBBY,Bed Bath & Beyond Inc.,2,6.82%,$9.56,$0.6800,2020-03-12,Quarter,2020-04-14,Consumer Goods,Home Furnishings And Fixtures,Qualified,2020-03-13,2020-01-08,No
GT,The Goodyear Tire & Rubber Company,1.4,6.82%,$8.97,$0.6400,2020-01-31,Quarter,2020-03-02,Consumer Goods,Rubber And Plastics,Unknown,2020-02-03,2020-01-15,No
BHP,BHP Billiton Ltd.,2.6,6.82%,$43.44,$3.1200,2019-09-05,Semi Annually,2019-09-25,Basic Materials,Industrial Metals And Minerals,Unknown,2019-09-06,N/A,Yes
GPS,The Gap Inc.,2.2,6.79%,$13.68,$0.9700,2020-01-07,Quarter,2020-01-29,Services,Apparel Stores,Qualified,2020-01-08,2019-11-14,No
XOM,Exxon Mobil,3,6.78%,$52.42,$3.4800,2020-02-10,Quarter,2020-03-10,Basic Materials,Major Integrated Oil And Gas,Qualified,2020-02-11,2020-01-29,No
GAIN,Gladstone Investment,1.4,6.76%,$12.26,$0.8400,2020-03-19,Monthly,2020-03-31,Financial,Closed End Fund Equity,Non-Qualified,2020-03-20,2020-01-14,No
EVG,Eaton Vance Short Duration Diversified Income Fund,1.6,6.76%,$13.22,$0.9000,2020-03-23,Monthly,2020-03-31,Financial,Closed End Fund Debt,Unknown,2020-03-24,2020-03-02,No
TOT,Total S.A.,2.8,6.73%,$43.83,$2.9289,2020-01-02,Quarter,2020-01-28,Basic Materials,Major Integrated Oil And Gas,Unknown,2020-01-03,N/A,Yes
RPT,Ramco-Gershenson Properties Trust,2,6.72%,$13.20,$0.8800,2020-03-19,Quarter,2020-04-01,Financial,Real Estate Development,Non-Qualified,2020-03-20,2020-02-13,No
OHI,Omega HealthCare Investors Inc.,3.6,6.71%,$40.98,$2.6800,2020-01-30,Quarter,2020-02-14,Financial,Reit Healthcare Facilities,Non-Qualified,2020-01-31,2020-01-15,No
BKT,BlackRock Income Trust Inc. (The) Com.,1.6,6.70%,$6.14,$0.4128,2020-03-13,Monthly,2020-03-31,Financial,Closed End Fund Debt,Unknown,2020-03-16,2020-03-02,No
GEF-B,Greif Inc Cl B,1.6,6.70%,$37.40,$2.6400,2020-03-17,Quarter,2020-04-01,Consumer Goods,Packaging And Containers,Qualified,2020-03-18,2020-02-25,No
UBS,UBS AG (USA),3,6.70%,$10.72,$0.7300,2020-05-05,Annually,2020-05-07,Financial,Foreign Money Center Banks,Unknown,2020-05-06,2020-01-21,No
IR,Ingersoll-Rand Co.,4.6,6.69%,$28.55,$2.1200,2019-12-05,Quarter,2019-12-31,Industrial Goods,Diversified Machinery,Unknown,2019-12-06,2019-10-03,No
DOW,Dow Chemical,2.4,6.68%,$40.31,$2.8000,2020-02-27,Quarter,2020-03-13,Basic Materials,Chemicals Major Diversified,Unknown,2020-02-28,2020-02-13,No
SIG,Signet Jewelers,2,6.67%,$22.17,$1.4800,2020-01-30,Quarter,2020-02-28,Services,Jewelry Stores,Unknown,2020-01-31,2020-01-16,No
BGG,Briggs & Stratton,0.2,6.67%,$2.83,$0.2000,2019-12-17,Quarter,2020-01-03,Industrial Goods,Diversified Machinery,Qualified,2019-12-18,2019-10-31,No
TCP,TC Pipelines L.P.,2,6.66%,$38.98,$2.6000,2020-01-30,Quarter,2020-02-14,Basic Materials,Oil And Gas Pipelines,Unknown,2020-01-31,2020-01-21,No
BIG,"Big Lots, Inc.",1.2,6.64%,$17.13,$1.2000,2020-03-19,Quarter,2020-04-03,Services,Discount Variety Stores,Qualified,2020-03-20,2020-02-26,No
CC,The Chemours Company,2,6.64%,$15.07,$1.0000,2020-02-26,Quarter,2020-03-16,Basic Materials,Specialty Chemicals,Unknown,2020-02-27,2020-02-12,No
MC,Moelis & Company,3.6,6.63%,$30.58,$2.0400,2020-02-14,Quarter,2020-03-27,Financial,Asset Management,Qualified,2020-02-18,2020-02-04,No
GDV,Gabelli Dividend & Income Trust,1.4,6.61%,$19.50,$1.3200,2020-03-16,Monthly,2020-03-24,Financial,Closed End Fund Equity,Unknown,2020-03-17,2019-11-15,No
RNP,Cohen & Steers Reit & Preferred Income Fund Inc,1.4,6.61%,$23.09,$1.4880,2020-03-17,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-18,2019-12-18,No
RPT-PR-D,Ramco-Gershenson Properties Trust Preferred Shares,1.6,6.61%,$54.92,$3.6250,2020-03-19,Quarter,2020-04-01,Financial,Reit Retail,Non-Qualified,2020-03-20,2020-02-13,No
EVF,Eaton Vance Senior Income Trust Shs Ben Int,1.6,6.60%,$6.28,$0.4200,2020-03-11,Monthly,2020-03-19,Financial,Closed End Fund Debt,Unknown,2020-03-12,2020-03-02,No
TX,Ternium S.A. ,2.8,6.59%,$18.22,$1.2000,2019-05-08,Annually,2019-05-17,Basic Materials,Steel And Iron,Unknown,2019-05-09,N/A,Yes
HTD,Hancock John Tax-Advantaged Dividend Income Fund,1.4,6.58%,$26.05,$1.6560,2020-03-11,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-12,2020-03-02,No
ERH,Wells Fargo Advantage Utilities and High Income Fund,1.2,6.58%,$14.44,$0.9648,2020-03-12,Monthly,2020-04-01,Financial,Closed End Fund Equity,Unknown,2020-03-13,2020-02-20,No
UG,United Guardian,0.8,6.57%,$15.50,$1.1000,2019-12-02,Semi Annually,2019-12-10,Consumer Goods,Personal Products,Qualified,2019-12-03,2019-11-20,No
RRD,RR Donnelley,2,6.56%,$1.83,$0.1200,2020-02-13,Quarter,2020-03-02,Services,Business Services,Qualified,2020-02-14,2020-01-15,No
GLU,Gabelli Global Utilities & Income Trust Com Sh Ben Int,1.6,6.55%,$18.06,$1.2000,2020-03-16,Monthly,2020-03-24,Financial,Closed End Fund Equity,Unknown,2020-03-17,2019-11-15,No
CUK,Carnival Plc ADR,2.6,6.54%,$27.76,$2.0000,2020-02-20,Quarter,2020-03-13,Services,General Entertainment,Unknown,2020-02-21,N/A,Yes
ATAX,America First Tax Exempt Investors L P Units  Ben Int,3.6,6.54%,$7.56,$0.5000,2019-12-30,Quarter,2020-01-31,Financial,Mortgage Investment,Non-Qualified,2019-12-31,2019-12-13,No
EQNR,Equinor ASA,2.4,6.51%,$15.69,$1.0400,2020-02-18,Quarter,2020-02-27,Basic Materials,Major Integrated Oil And Gas,Unknown,2020-02-19,N/A,Yes
DK,Delek U.S. Holdings,2.2,6.50%,$18.97,$1.2400,2020-03-09,Quarter,2020-03-24,Basic Materials,Oil And Gas Refining And Marketing,Qualified,2020-03-10,2020-02-25,No
BXMT,Blackstone Mortgage Trust Inc,3,6.48%,$37.69,$2.4800,2019-12-30,Quarter,2020-01-15,Financial,Property Management,Non-Qualified,2019-12-31,2019-12-16,No
AWF,"AllianceBernstein Global High Income Fund, Inc.",1.6,6.47%,$11.90,$0.7860,2020-03-05,Monthly,2020-03-20,Financial,Closed End Fund Debt,Unknown,2020-03-06,2020-02-24,No
MAIN,Main Street Capital Corp,2.6,6.45%,$38.16,$2.4600,2020-03-17,Monthly,2020-04-15,Financial,Diversified Investments,Unknown,2020-03-18,2020-02-25,No
ESCA,"Escalade, Inc.",1,6.45%,$8.05,$0.5000,2020-03-06,Quarter,2020-03-16,Consumer Goods,Sporting Goods,Qualified,2020-03-09,2020-02-21,No
PSXP,Phillips 66 Partners LP,3.6,6.45%,$54.00,$3.5000,2020-01-30,Quarter,2020-02-13,Basic Materials,Oil And Gas Refining And Marketing,Unknown,2020-01-31,2020-01-21,No
SPTN,Spartan Stores,2.4,6.43%,$12.03,$0.7700,2020-03-09,Quarter,2020-03-31,Services,Food Wholesale,Qualified,2020-03-10,2020-02-27,No
TCO-PR-J,"Taubman Centers, Inc. Preferred Shares Series J",1.6,6.42%,$25.29,$1.6250,2019-12-13,Quarter,2019-12-31,Financial,Reit Retail,Non-Qualified,2019-12-16,2019-12-05,No
DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc. Com.",1.6,6.42%,$9.43,$0.6000,2020-03-13,Monthly,2020-03-31,Financial,Closed End Fund Debt,Unknown,2020-03-16,2019-12-19,No
CII,BlackRock Enhanced Capital & Income Fund Inc,1.4,6.39%,$16.15,$1.0500,2020-03-13,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-16,2020-03-02,No
NTB,The Bank of N.T. Butterfield & Son Limited,3.2,6.39%,$26.46,$1.7600,2020-02-25,Quarter,2020-03-11,Financial,Foreign Money Center Banks,Unknown,2020-02-26,2020-02-12,No
NVEC,NVE Corp.,0.4,6.39%,$63.89,$4.0000,2020-01-31,Quarter,2020-02-28,Technology,Semiconductor Specialized,Unknown,2020-02-03,2020-01-22,No
EGIF,Eagle Growth & Income Opportunities Fund,1.4,6.38%,$15.77,$1.0200,2020-02-14,Monthly,2020-02-28,Financial,Closed End Fund Equity,Unknown,2020-02-18,2020-02-10,No
GOODN,Gladstone Commercial Corporation,1.6,6.35%,$26.49,$1.6563,2020-03-19,Monthly,2020-03-31,Financial,Reit Diversified,Non-Qualified,2020-03-20,2020-01-14,No
KKR-PR-A,KKR & Co. L.P. 6.75% Series A Preferred Units,1.6,6.33%,$26.33,$1.6875,2020-02-27,Quarter,2020-03-16,Financial,Diversified Investments,Qualified,2020-03-01,2020-01-31,No
BBDC,"Barings BDC, Inc.",3.8,6.32%,$10.05,$0.6400,2020-03-10,Quarter,2020-03-18,Financial,Credit Services,Unknown,2020-03-11,2020-02-27,No
KIM,Kimco Realty Corp,3.4,6.31%,$18.03,$1.1200,2020-04-01,Quarter,2020-04-15,Financial,Reit Retail,Non-Qualified,2020-04-02,2020-01-28,No
FFC,Flaherty & Crumrine/Claymore Preferred Securities Income Fun,1.4,6.29%,$21.28,$1.3440,2020-03-23,Monthly,2020-03-31,Financial,Closed End Fund Debt,Unknown,2020-03-24,2020-01-23,No
MERC,Mercer International Inc.,0.6,6.29%,$8.70,$0.5500,2020-03-24,Quarter,2020-04-01,Consumer Goods,Paper And Paper Products,Qualified,2020-03-25,2020-02-13,No
KHC,The Kraft Heinz Company,1.4,6.27%,$26.46,$1.6000,2020-03-12,Quarter,2020-03-27,Consumer Goods,Food Major Diversified,Qualified,2020-03-13,2020-02-13,No
ENB,Enbridge Inc.,3.8,6.27%,$38.60,$2.4344,2020-02-13,Quarter,2020-03-01,Basic Materials,Oil And Gas Pipelines,Unknown,2020-02-14,2019-12-09,No
DNP,DNP Select Income Fund Inc,1.4,6.27%,$12.39,$0.7800,2020-03-30,Monthly,2020-04-10,Financial,Closed End Fund Equity,Unknown,2020-03-31,2019-12-19,No
RPAI,"Retail Properties of America, Inc",2,6.26%,$10.34,$0.6625,2020-03-25,Quarter,2020-04-09,Financial,Reit Diversified,Non-Qualified,2020-03-26,2020-02-13,No
UVV,Universal Corp,1,6.24%,$49.47,$3.0400,2020-04-09,Quarter,2020-05-04,Consumer Goods,Tobacco Products Other,Qualified,2020-04-13,2020-02-04,No
UFS,Domtar Corp,1.8,6.24%,$28.54,$1.8200,2020-04-01,Quarter,2020-04-15,Consumer Goods,Paper And Paper Products,Unknown,2020-04-02,2020-02-19,No
TSCAP,"TriState Capital Holdings, Inc.",1.4,6.24%,$27.15,$1.6875,2020-03-17,Quarter,2020-04-01,Financial,Regional Northeast Banks,Qualified,2020-03-18,2020-02-05,No
R,Ryder System,1.4,6.23%,$35.61,$2.2400,2020-02-14,Quarter,2020-03-20,Services,Rental And Leasing Services,Qualified,2020-02-18,2020-02-07,No
FLC,Flaherty & Crumrine / Claymore Total Return Fund Inc,1.4,6.22%,$21.97,$1.3800,2020-03-23,Monthly,2020-03-31,Financial,Closed End Fund Debt,Unknown,2020-03-24,2020-01-23,No
RMCF,Rocky Mountain Chocolate Factory,1.2,6.21%,$7.66,$0.4800,2020-02-27,Quarter,2020-03-13,Consumer Goods,Confectioners,Unknown,2020-02-28,2020-02-18,No
BTI,British Amer. Tobacco,2.8,6.19%,$42.04,$2.6086,2019-12-26,Quarter,2020-02-11,Consumer Goods,Cigarettes,Unknown,2019-12-27,N/A,Yes
RIO,Rio Tinto plc,1.8,6.19%,$49.99,$3.0200,2020-03-06,Semi Annually,2020-04-16,Basic Materials,Steel And Iron,Unknown,2020-03-09,N/A,Yes
UTG,Reaves Utility Income Fund Shs Ben Int,1.4,6.19%,$36.63,$2.1600,2020-03-19,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-20,2019-12-18,No
VER,Vereit Inc,2.8,6.19%,$9.20,$0.5500,2020-03-30,Quarter,2020-04-15,Financial,Reit Diversified,Non-Qualified,2020-03-31,2020-02-25,No
TRTN,Triton International Limited,3,6.18%,$33.03,$2.0800,2020-03-12,Quarter,2020-03-27,Services,Rental And Leasing Services,Unknown,2020-03-13,2020-02-14,No
ESGRP,Enstar Group Limited,1.6,6.18%,$28.05,$1.7500,2020-02-13,Quarter,2020-03-02,Financial,Property And Casualty Insurance,Non-Qualified,2020-02-15,2020-02-04,No
PFO,Flaherty & Crumrine Preferred Income Opportunity Fund Inc,1.6,6.18%,$12.24,$0.7500,2020-03-23,Monthly,2020-03-31,Financial,Closed End Fund Debt,Unknown,2020-03-24,2020-01-23,No
CMRE,Costamare Inc. Ord Shs,2.6,6.18%,$6.31,$0.4000,2020-01-17,Quarter,2020-02-05,Services,Shipping,Unknown,2020-01-21,2020-01-03,No
PEGI,Pattern Energy Group Inc,2,6.18%,$27.42,$1.6880,2019-12-30,Quarter,2020-01-31,Utilities,Diversified Utilities,Qualified,2019-12-31,2019-11-04,No
DVD,"Dover Motorsports, Inc.",2.6,6.17%,$1.60,$0.1000,2019-11-07,Annually,2019-12-10,Services,Sporting Activities,Qualified,2019-11-11,2019-10-23,No
CCL,Carnival Corp,2.8,6.16%,$29.18,$2.0000,2020-02-20,Quarter,2020-03-13,Services,General Entertainment,Qualified,2020-02-21,2020-01-15,No
FLXS,FlexSteel Industries,0.4,6.16%,$14.23,$0.8800,2019-12-19,Quarter,2020-01-06,Consumer Goods,Home Furnishings And Fixtures,Qualified,2019-12-20,2019-12-10,No
